track_genre,track_count,unique_tracks,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
detroit-techno,998,998,0.7224659318637274,0.7103180360721443,-11.089171342685372,0.07269549098196393,0.06572622931863727,0.6991005529058116,0.1546812625250501,0.4687794589178357,126.59767034068138,11.183366733466935,39.57915831663327,4.709418837675351,45.09018036072144,10.62124248496994
disco,1000,1000,0.676692,0.737565,-7.422032,0.0592516,0.1662128304,0.08095196790999999,0.1953252,0.6707538,121.97438000000001,33.522,70.1,5.3,16.5,8.1
disney,999,999,0.46303023023023027,0.3026695295295295,-14.967937937937938,0.07491701701701702,0.7426519165165165,0.38304953547547543,0.16855085085085084,0.36875915915915913,112.0453873873874,27.525525525525527,14.214214214214213,14.814814814814813,7.307307307307307,63.66366366366366
drum-and-bass,996,996,0.5357339357429719,0.8763795180722892,-4.164519076305221,0.09171807228915663,0.02599836140562249,0.37237316245983937,0.22040833333333334,0.3217534136546185,155.25464357429718,26.630522088353413,21.78714859437751,0.1004016064257028,77.10843373493977,1.0040160642570282
dub,999,999,0.5755155155155156,0.7147517517517518,-6.046363363363364,0.0971051051051051,0.12253151771771773,0.08861527980980982,0.18931151151151152,0.3868713713713714,129.50659659659658,40.05805805805806,23.423423423423422,6.106106106106106,64.76476476476476,5.7057057057057055
dubstep,999,999,0.5180080080080081,0.7588078078078078,-5.0639529529529534,0.09041551551551552,0.1137546049049049,0.09232711864864865,0.19971721721721722,0.2718457457457457,133.6633973973974,42.31731731731732,9.20920920920921,0.3003003003003003,84.58458458458459,5.905905905905906
edm,993,993,0.6483846928499497,0.7562578046324271,-5.275981873111783,0.07037724068479356,0.11470901107754279,0.040328178449144006,0.19233856998992951,0.46470926485397784,122.05445417925479,35.13897280966767,41.99395770392749,1.3091641490433032,55.2870090634441,1.4098690835850958
electro,998,998,0.651504008016032,0.6648587174348697,-6.130143286573146,0.07929859719438878,0.22766526653306612,0.03779894078156312,0.18472264529058116,0.4667968937875751,120.88684769539077,36.14629258517034,35.77154308617235,5.31062124248497,46.893787575150306,12.024048096192384
electronic,1000,1000,0.652945,0.6947523,-7.142963,0.08176779999999999,0.1770264701,0.24869729455999998,0.19077629999999998,0.39183890000000005,122.947839,44.325,29.4,3.0,54.400000000000006,13.200000000000001
emo,1000,1000,0.599321,0.6699669202999999,-6.718621,0.1089572,0.1950806693,0.03028117004,0.18373759999999997,0.441135,126.992643,48.128,34.699999999999996,5.3,42.699999999999996,17.299999999999997
folk,999,999,0.5585525525525525,0.5455945945945946,-9.031366366366365,0.05872792792792793,0.47569282582582584,0.037712317857857856,0.17617377377377377,0.49038718718718716,118.45262962962963,38.04404404404404,36.83683683683684,9.20920920920921,20.62062062062062,33.33333333333333
forro,998,998,0.6499468937875752,0.7895010020040081,-5.122070140280561,0.05720080160320641,0.39736227454909817,0.0012516596192384771,0.29534939879759514,0.7604993987975952,140.35065631262523,41.831663326653306,88.87775551102204,2.1042084168336674,8.617234468937877,0.4008016032064128
french,999,999,0.6515301301301302,0.5948700700700701,-8.853756756756757,0.12673893893893895,0.34977637056056055,0.1589983767967968,0.17445065065065063,0.42974124124124125,117.79386786786786,41.07507507507508,33.33333333333333,5.905905905905906,38.13813813813814,22.62262262262262
funk,1000,1000,0.678184,0.632999,-6.503946,0.15164850000000002,0.29965703309999997,0.0077982044200000005,0.18055690000000002,0.5996525,117.755823,32.322,55.7,12.4,21.9,10.0
garage,1000,1000,0.48426440000000004,0.7443500000000001,-6.553586,0.0659337,0.16750723135999998,0.18986975872,0.2126866,0.5180332,127.048215,40.933,49.6,3.6999999999999997,36.6,10.100000000000001
german,963,963,0.5300433021806853,0.5369940602284528,-11.167963655244028,0.09851308411214953,0.38015312811007274,0.279768888026999,0.19617331256490134,0.3851577362409138,117.49519210799585,27.191069574247145,30.73727933541018,5.29595015576324,29.387331256490135,34.57943925233645
gospel,999,999,0.4732972972972973,0.5763337337337336,-7.193607607607607,0.04128348348348348,0.37676831131131133,0.003310026856856857,0.29831091091091094,0.320801001001001,125.67478078078078,41.64064064064064,12.212212212212211,2.2022022022022023,53.85385385385385,31.73173173173173
goth,999,999,0.47855355355355356,0.7410800002002002,-7.161362362362363,0.07295425425425425,0.16413597141141142,0.11953373848848849,0.2302214214214214,0.4433193193193193,124.30890390390391,28.916916916916918,36.43643643643644,2.6026026026026026,50.750750750750754,10.21021021021021
grindcore,998,998,0.2720768537074148,0.9243226452905812,-6.238946893787575,0.1376119238476954,0.008715684859719438,0.5376920461022044,0.2809285571142284,0.21635370741482965,119.26818236472946,14.629258517034069,6.212424849699398,0.1002004008016032,92.98597194388778,0.7014028056112225
groove,998,998,0.5840831663326653,0.7639557114228457,-6.404963927855711,0.07072685370741484,0.13158497915831663,0.145833140751503,0.23067885771543087,0.4269433867735471,123.74139078156313,37.83266533066132,35.87174348697395,1.903807615230461,52.40480961923848,9.819639278557114
grunge,999,999,0.45705305305305305,0.8031121121121121,-5.6616106106106105,0.06105245245245245,0.0534945661961962,0.03700968783783784,0.22228108108108108,0.40044844844844846,129.3379029029029,49.58258258258258,28.72872872872873,0.3003003003003003,65.36536536536536,5.605605605605605
guitar,999,999,0.5403787787787787,0.3252063882882883,-14.041552552552552,0.051433733733733736,0.773217867867868,0.5160684875775776,0.149706006006006,0.43255435435435435,111.98887487487487,29.52852852852853,18.41841841841842,20.32032032032032,5.105105105105105,56.15615615615616
happy,999,999,0.5526966966966967,0.9109009009009009,-5.4163213213213215,0.11979369369369369,0.05730014204204204,0.26346552939939943,0.2843439439439439,0.32768618618618617,152.92087587587585,21.716716716716718,22.22222222222222,0.20020020020020018,77.07707707707708,0.5005005005005005
